"","bene_count","bene_count_ge65","bene_count_ge65_suppress_flag","description_flag","drug_name","ge65_suppress_flag","generic_name","npi","nppes_provider_city","nppes_provider_first_name","nppes_provider_last_org_name","nppes_provider_state","specialty_desc","total_30_day_fill_count","total_30_day_fill_count_ge65","total_claim_count","total_claim_count_ge65","total_day_supply","total_day_supply_ge65","total_drug_cost","total_drug_cost_ge65"
"15",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1902831662,"RICHMOND","WILLIAM","MOORE","VA","Family Practice",24,0,23,0,720,0,1087.2,0
"16",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1730170028,"WAYNESBORO","CHRISTOPHER","HECK","VA","Family Practice",20,NA,20,NA,553,NA,397.02,NA
"17",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1912905894,"MONETA","JANICE","LUTH","VA","Family Practice",13,NA,13,NA,248,NA,155.96,NA
"18",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1811905466,"MADISON HEIGHTS","STEVEN","EISENSTEIN","VA","Psychiatry",11,0,11,0,326,0,489.55,0
"19",30,NA,"*","S","METHADONE HCL","","METHADONE HCL",1154393650,"FISHERSVILLE","VICTOR","LEE","VA","Pain Management",88.2,24,88,24,2588,694,1594.28,462.75
"20",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1720023674,"HARRISONBURG","KATHERINE","TILLER","VA","Hospice and Palliative Care",15.5,NA,15,NA,457,NA,783.82,NA
"21",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1487895256,"NORFOLK","ANNETTE","SLADE","VA","Nurse Practitioner",29,0,29,0,310,0,229.69,0
"22",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1518960673,"CHATHAM","MINESH","SHAH","VA","Family Practice",13,NA,13,NA,292,NA,137.44,NA
"23",15,NA,"*","S","SUBOXONE","*","BUPRENORPHINE HCL/NALOXONE HCL",1114943040,"LEBANON","JUAN","RODRIGUEZ","VA","Psychiatry",64,NA,64,NA,617,NA,8605.91,NA
"24",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1982656872,"DANVILLE","THOMAS","ALABANZA","VA","Internal Medicine",25,25,25,25,480,480,284.48,284.48
"25",NA,NA,"*","S","BUTRANS","","BUPRENORPHINE",1285668491,"FAIRFAX","SUNEETHA","BUDAMPATI","VA","Physical Medicine and Rehabilitation",16,16,16,16,449,449,4606.38,4606.38
"26",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1699834978,"KILMARNOCK","KEVIN","MCGRATH","VA","Internal Medicine",24,0,24,0,686,0,597.8,0
"27",20,0,"","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1235100025,"PENNINGTON GAP","WAYNE","VANZEE","VA","Internal Medicine",366,0,366,0,4890,0,84345.85,0
"28",NA,NA,"*","S","BUTRANS","","BUPRENORPHINE",1982634085,"WILLIAMSBURG","MISTY","WHITE","VA","Nurse Practitioner",20.8,20.8,19,19,591,591,5427.96,5427.96
"29",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1437313988,"VIENNA","NESLY","HNEICH","VA","Psychiatry",19,0,19,0,570,0,614.57,0
"30",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1184847055,"RICHMOND","JOSHUA","MCFARLANE","VA","Hematology/Oncology",11,NA,11,NA,330,NA,224.84,NA
"31",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1861454555,"TROUTDALE","JANE","SAGE","VA","Nurse Practitioner",67,0,65,0,1980,0,2934.04,0
"32",NA,NA,"*","S","BUTRANS","*","BUPRENORPHINE",1043466634,"WYTHEVILLE","ERIN","BOWSER","VA","Family Practice",20,NA,20,NA,572,NA,7452.19,NA
"33",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1073778973,"FREDERICKSBURG","JONATHAN","YODER","VA","Nurse Practitioner",16,NA,16,NA,161,NA,140.25,NA
"34",NA,NA,"*","S","BUTRANS","","BUPRENORPHINE",1508948944,"ALEXANDRIA","JOEL","TEMME","VA","Internal Medicine",16,16,16,16,446,446,4208.23,4208.23
"35",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1588687263,"FAIRFAX","ANIL","HINNARIA","VA","Psychiatry",20.2,0,20,0,603,0,1021.95,0
"36",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1275572562,"DANVILLE","MICHAEL","CAPLAN","VA","Internal Medicine",17,17,17,17,510,510,119.46,119.46
"37",NA,0,"","S","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1205893054,"MANASSAS","RITU","CHAHIL MIGLANI","VA","Psychiatry",36,0,36,0,541,0,5630.91,0
"38",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1730121823,"RUCKERSVILLE","BROOKE","BOSTIC","VA","Family Practice",24,0,24,0,610,0,831.05,0
"39",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1750359758,"MARTINSVILLE","VINCENT","JONES","VA","Internal Medicine",63,25,63,25,1468,328,1216.14,429.12
"40",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1316129976,"FRONT ROYAL","JONATHAN","WINTER","VA","Family Practice",29,NA,29,NA,757,NA,1166.99,NA
"41",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1144390139,"STAUNTON","KERRY","ALEXANDER","VA","Internal Medicine",19,19,17,17,570,570,249.74,249.74
"42",NA,NA,"*","S","NALTREXONE HCL","*","NALTREXONE HCL",1649466368,"SALEM","ABHISHEK","MEHRA","VA","Psychiatry",11,NA,11,NA,330,NA,419.06,NA
"43",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1124281480,"HARRISONBURG","ANNA","YERRID","VA","Physician Assistant",30,11,30,11,463,330,347.4,218.42
"44",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1801887344,"FOREST","DAVID","SMITH","VA","Family Practice",12,12,12,12,360,360,119.81,119.81
"45",NA,0,"","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1942370226,"NEWPORT NEWS","TIMOTHY","OCONNELL","VA","Obstetrics/Gynecology",13,0,13,0,390,0,5603.09,0
"46",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1871599282,"KEYSVILLE","TERESA","MOORE","VA","Family Practice",20,20,20,20,577,577,922.23,922.23
"47",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1164890182,"ALEXANDRIA","SARA","SANDERS","VA","Physician Assistant",17,NA,17,NA,510,NA,415.05,NA
"48",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1861650350,"ROANOKE","SUZANNA","JAMISON","VA","Internal Medicine",12,NA,12,NA,360,NA,213.6,NA
"49",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1659371805,"DANVILLE","SYDNEY","HARRIS","VA","Family Practice",29,NA,29,NA,870,NA,520.35,NA
"50",12,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1952418998,"SALEM","CHAD","GETYINA","VA","Physician Assistant",15,NA,15,NA,381,NA,120.78,NA
"51",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1225295413,"RICHMOND","PHILLIP","MARSHALL","VA","Psychiatry",12,0,12,0,360,0,433.34,0
"52",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1457434268,"WOODBRIDGE","CINDY","ZHANG","VA","Interventional Pain Management",36,NA,28,NA,1080,NA,643.19,NA
"53",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1811973423,"SALEM","WILLIAM","BLAYLOCK","VA","Internal Medicine",22,0,22,0,660,0,247.45,0
"54",NA,NA,"*","S","BUTRANS","","BUPRENORPHINE",1043521503,"BRISTOL","RACHEL","WILSON","VA","Family Practice",12,12,12,12,342,342,6120.15,6120.15
"55",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1972565265,"MARION","BRIAN","STIEFEL","VA","Family Practice",17,NA,17,NA,510,NA,760.01,NA
"56",11,0,"","S","METHADONE HCL","","METHADONE HCL",1770570657,"RICHMOND","THOKOZENI","LIPATO","VA","Internal Medicine",45,0,45,0,1249,0,1912.81,0
"57",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1497749121,"HERNDON","MARC","PLESCIA","VA","Family Practice",12,0,12,0,360,0,170.7,0
"58",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1790765402,"WYTHEVILLE","WILLIAM","TOMIAK","VA","Family Practice",19.1,NA,18,NA,573,NA,426.93,NA
"59",31,NA,"*","S","BUPRENORPHINE-NALOXONE","*","BUPRENORPHINE HCL/NALOXONE HCL",1386670461,"COEBURN","GUCHARAN","KANWAL","VA","Internal Medicine",125.3,NA,125,NA,1839,NA,27394.11,NA
"60",NA,NA,"#","S","BUTRANS","#","BUPRENORPHINE",1881896777,"HAYMARKET","KETAN","PATEL","VA","Pain Management",19,NA,19,NA,536,NA,5896.7,NA
"61",NA,NA,"#","S","METHADONE HCL","#","METHADONE HCL",1730129545,"EMPORIA","ADOLPH","FLOWERS","VA","Family Practice",24.3,NA,24,NA,730,NA,628.36,NA
"62",NA,NA,"*","S","BUTRANS","","BUPRENORPHINE",1497791669,"VIRGINIA BEACH","TRACEY","PENNINGTON","VA","Physical Medicine and Rehabilitation",31,15,31,15,866,420,10328.29,2947.52
"63",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1548280613,"LOUISA","WENDY","WESTFIELD","VA","Internal Medicine",49,12,47,12,1470,360,764.02,108.7
"64",39,11,"","S","BUTRANS","","BUPRENORPHINE",1295791820,"HARRISONBURG","MATTHEW","HOLLAND","VA","Pain Management",105,28,105,28,2991,799,39780.47,12035.37
"65",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1477668200,"VIRGINIA BEACH","HERBERT","KNIGHT","VA","Internal Medicine",69.3,49.3,69,49,2080,1480,2869.88,1919.45
"66",11,NA,"*","S","SUBOXONE","*","BUPRENORPHINE HCL/NALOXONE HCL",1013986264,"ABINGDON","JOE","RUPE","VA","Internal Medicine",11,NA,11,NA,305,NA,5901.13,NA
"67",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1164650040,"NASSAWADOX","OTIS","DOSS","VA","General Surgery",16,16,16,16,207,207,178.12,178.12
"68",20,NA,"*","T","BUPRENORPHINE HCL","*","BUPRENORPHINE HCL",1942593603,"BRISTOL","GEORGE","HALSTEAD","VA","General Practice",230.7,NA,227,NA,4366,NA,22193.65,NA
"69",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1922007053,"CHARLOTTESVILLE","HENDRA","SANUSI","VA","Family Practice",13,0,11,0,390,0,137.59,0
"70",NA,NA,"*","S","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1053392399,"BLACKSBURG","ROBERT","YOUNG","VA","Obstetrics/Gynecology",37,12,37,12,871,330,14298.69,7412.45
"71",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1881001238,"HARRISONBURG","CONSTANCE","WENGER","VA","Physician Assistant",35,NA,35,NA,359,NA,266.15,NA
"72",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1912030883,"NORTH CHESTERFIELD","FRANK","SHELP","VA","Psychiatry",13.1,0,13,0,365,0,439.94,0
"73",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1134476088,"ROANOKE","CARLA","HART-TYNER","VA","Nurse Practitioner",32,12,32,12,935,360,367.88,126.4
"74",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1508097015,"BIG STONE GAP","BRYAN","WATSON","VA","Internal Medicine",12,0,12,0,360,0,245.52,0
"75",31,NA,"*","S","METHADONE HCL","","METHADONE HCL",1518208602,"MANASSAS","APRIL","BRITTAIN","VA","Nurse Practitioner",217.1,23,217,23,5997,600,7945.88,712.26
"76",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1841246600,"CHARLOTTESVILLE","WILLIAM","DANDRIDGE","VA","Family Practice",13,0,13,0,391,0,347.98,0
"77",13,NA,"*","S","BUTRANS","","BUPRENORPHINE",1578602017,"VIRGINIA BEACH","MARY JO","DOUGHERTY","VA","Physician Assistant",57,16,57,16,1605,448,17640.33,3245.07
"78",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1720085392,"RADFORD","CHARLES","JUDY","VA","Family Practice",29,NA,29,NA,733,NA,452.6,NA
"79",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1306079116,"CHARLOTTESVILLE","ELIZABETH","LYONS","VA","Internal Medicine",50,22,50,22,1486,660,764.96,362.72
"80",27,NA,"*","S","METHADONE HCL","","METHADONE HCL",1881683712,"LEBANON","CHARLOTTE","TOWNSEND","VA","Family Practice",262.2,80,262,80,7506,2308,6069.93,1080.94
"81",NA,0,"","S","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1952302044,"CHARLOTTESVILLE","RADHIKA","MANHAPRA","VA","Internal Medicine",22.4,0,22,0,581,0,9714.57,0
"82",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1295777654,"DANVILLE","BHUSHAN","PANDYA","VA","Gastroenterology",12,0,12,0,342,0,485.49,0
"83",NA,NA,"*","S","RELISTOR","","METHYLNALTREXONE BROMIDE",1255444196,"VIRGINIA BEACH","VALERIE","PASCHANG","VA","Nurse Practitioner",12,12,12,12,175,175,7289.64,7289.64
"84",NA,NA,"#","S","METHADONE HCL","#","METHADONE HCL",1528005493,"CHARLOTTESVILLE","WILLIAM","TOMPKINS","VA","Internal Medicine",21,NA,20,NA,630,NA,417.03,NA
"85",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1659452076,"CHARLOTTESVILLE","JOHN","DAVISON","VA","Family Practice",61.2,15,61,15,1822,435,2478.02,193.6
"86",38,16,"","S","METHADONE HCL","","METHADONE HCL",1659360311,"WEYERS CAVE","ROBERT","AUDET","VA","Pain Management",326,125,326,125,9722,3718,10472.18,3749.97
"87",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1447239520,"LOW MOOR","NOEL","JEWELL","VA","Psychiatry",17,0,15,0,370,0,519.6,0
"88",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1215915814,"ARRINGTON","BENJAMIN","BROWN","VA","Family Practice",11,0,11,0,330,0,511.61,0
"89",NA,NA,"*","S","BUTRANS","","BUPRENORPHINE",1548339989,"ABINGDON","JENNIFER","JONKERS","VA","Internal Medicine",11,11,11,11,310,310,3106.23,3106.23
"90",NA,0,"","S","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1497726376,"COEBURN","THOMAS","RENFRO","VA","Internal Medicine",15,0,15,0,301,0,3684.75,0
"91",NA,0,"","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1588687263,"FAIRFAX","ANIL","HINNARIA","VA","Psychiatry",22,0,22,0,237,0,1846.18,0
"92",NA,NA,"#","S","BUPRENORPHINE HCL","#","BUPRENORPHINE HCL",1144300898,"POUND","VIRGINIA","BALUYOT","VA","General Practice",20,NA,20,NA,581,NA,2516.44,NA
"93",NA,NA,"*","T","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1366587198,"WILLIS","MARIA","ENCARNACION","VA","Family Medicine",25,12,25,12,750,360,17890.45,8180.1
"94",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1073670006,"LANSDOWNE","BANTI","CHAND","VA","Internal Medicine",42,18,42,18,1120,471,3931.57,578.78
"95",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1417038068,"RICHMOND","SUSAN","MILLER","VA","Family Practice",11,0,11,0,330,0,384.8,0
"96",15,0,"","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1366686180,"BIG STONE GAP","JOHN","STRANGE","VA","Family Practice",73,0,73,0,683,0,9844.36,0
"97",39,0,"","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1114115623,"MARION","NEAL","SANDERS","VA","Pediatric Medicine",120.1,0,120,0,1699,0,27739.92,0
"98",NA,NA,"#","S","METHADONE HCL","#","METHADONE HCL",1134278773,"CHANTILLY","MOHAMMAD","RANA","VA","Internal Medicine",14,NA,14,NA,279,NA,331.48,NA
"99",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1437265667,"RESTON","THOMAS","NGUYEN","VA","Pain Management",29,NA,29,NA,848,NA,821.85,NA
"100",30,12,"","S","METHADONE HCL","","METHADONE HCL",1700854577,"ARLINGTON","ABRAHAM","CHERRICK","VA","Interventional Pain Management",105,34,103,34,3073,1020,2118.96,648.33
"101",NA,NA,"*","S","NALTREXONE HCL","*","NALTREXONE HCL",1326026162,"WOODBRIDGE","KRISTIE","MITCHELL","VA","Psychiatry",24.5,NA,13,NA,735,NA,1909.35,NA
"102",11,0,"","S","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1295743433,"SALEM","MUKESH","PATEL","VA","Psychiatry",139.4,0,139,0,2200,0,23616.86,0
"103",NA,NA,"*","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1841409588,"RICHMOND","SHAMA","SAIYED","VA","Psychiatry",111.1,26,111,26,1451,405,27675.96,8392.13
"104",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1366534349,"VIRGINIA BEACH","MATTHEW","LEYTON","VA","Physical Medicine and Rehabilitation",59,29,59,29,1582,811,1062.06,567.73
"105",23,0,"","S","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1366686180,"BIG STONE GAP","JOHN","STRANGE","VA","Family Practice",169,0,168,0,1343,0,15881.08,0
"106",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1679779540,"RICHMOND","ERIN","ALESI","VA","Hematology/Oncology",20.6,NA,20,NA,557,NA,238.93,NA
"107",33,12,"","S","METHADONE HCL","","METHADONE HCL",1740245786,"WINCHESTER","LISA","RADER","VA","Nurse Practitioner",130.3,54.3,130,54,3675,1546,1764.51,663.9
"108",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1225013428,"WOODLAWN","VANESSA","FANT","VA","Family Practice",18,NA,18,NA,328,NA,226.29,NA
"109",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1447215306,"ELKTON","ARTHUR","STRUNK","VA","Nurse Practitioner",11,0,11,0,330,0,101.62,0
"110",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1780847145,"WINCHESTER","DANIEL","KLINE","VA","Physical Medicine and Rehabilitation",21,NA,21,NA,570,NA,240.78,NA
"111",16,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1174853576,"RICHMOND","AYNI","SHARIF","VA","Physician Assistant",76.1,NA,73,NA,2088,NA,1051.39,NA
"112",NA,NA,"*","S","BUTRANS","","BUPRENORPHINE",1598705618,"PORTSMOUTH","DAVID","CYR","VA","Emergency Medicine",13,13,13,13,364,364,6702.12,6702.12
"113",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1457656969,"RICHMOND","NATHAN","ZASLER","VA","Physical Medicine and Rehabilitation",24,0,24,0,720,0,1784.44,0
"114",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1649238007,"VA BEACH","ERIC","MEIN","VA","Pain Management",12,0,12,0,360,0,171.89,0
"115",NA,NA,"#","S","BUTRANS","#","BUPRENORPHINE",1184718538,"PORTSMOUTH","PARIMAL","SONI","VA","Internal Medicine",16,NA,16,NA,448,NA,5041.92,NA
"116",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1851605778,"MIDLOTHIAN","ABBY","RICKEL","VA","Nurse Practitioner",13,NA,13,NA,390,NA,275.8,NA
"117",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1851581771,"NEWPORT NEWS","CLAY","SINGLETON","VA","Physical Medicine and Rehabilitation",66,46,66,46,1946,1369,1536.93,1179.32
"118",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1760683536,"LURAY","ARSHEEYA","MASHAW","VA","Family Practice",21,0,21,0,630,0,1265.1,0
"119",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1326047606,"FARMVILLE","NORMAN","HOLDEN","VA","Psychiatry",58,0,58,0,1617,0,2305.27,0
"120",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1548309008,"CHARLOTTESVILLE","THOMAS","SWEENEY","VA","Family Practice",11,0,11,0,330,0,71.5,0
"121",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1871545236,"ROANOKE","BASHIRUDDIN","AHMAD","VA","Neurology",12.5,0,11,0,375,0,248.6,0
"122",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1528063070,"WINCHESTER","EMAD","BOTROS","VA","Internal Medicine",13,0,13,0,390,0,784.9,0
"123",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1255386264,"MECHANICSVILLE","GREGORY","LEGHART","VA","Physical Medicine and Rehabilitation",64,0,64,0,1833,0,903.21,0
"124",NA,0,"","S","SUBOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1851500516,"MIDLOTHIAN","AKM","SULAMAN","VA","Psychiatry",45,0,45,0,1136,0,15451.67,0
"125",NA,0,"","S","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1376697573,"CHRISTIANSBURG","ROBERT","DEAN","VA","Psychiatry",54,0,54,0,1285,0,17885.11,0
"126",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1629063193,"CHESAPEAKE","MALCOLM","MACPHERSON-SMITH","VA","Family Practice",19,0,19,0,252,0,381.02,0
"127",NA,0,"","S","METHADONE HCL","","METHADONE HCL",1265409288,"FANCY GAP","JOHN","TRACY","VA","Family Practice",12,0,12,0,360,0,346.34,0
"128",NA,NA,"#","S","METHADONE HCL","#","METHADONE HCL",1700989134,"DILLWYN","RICHARD","MULLER","VA","Internal Medicine",18,NA,18,NA,520,NA,176.29,NA
"129",NA,0,"","T","BUPRENORPHINE-NALOXONE","","BUPRENORPHINE HCL/NALOXONE HCL",1104190099,"HENRICO","JUANITA","GARRETT","VA","General Practice",18,0,18,0,289,0,4627.75,0
"130",NA,NA,"*","S","NALTREXONE HCL","","NALTREXONE HCL",1518905884,"MIDLOTHIAN","MARIO","GOMEZ","VA","Psychiatry",35.4,12.2,27,12,1057,365,1840.48,1046
"131",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1124084066,"HARRISONBURG","GLENN","DEPUTY","VA","Neurology",21,NA,21,NA,630,NA,443.36,NA
"132",NA,NA,"*","S","BUTRANS","","BUPRENORPHINE",1881666899,"STANLEY","R. DAVID","LEE","VA","Family Practice",11,11,11,11,316,316,3493.03,3493.03
"133",18,NA,"*","S","METHADONE HCL","","METHADONE HCL",1669556627,"ROANOKE","JOHN","RHODES","VA","Physician Assistant",95.3,24,95,24,2824,720,1596.04,361.46
"134",26,NA,"*","S","BUTRANS","*","BUPRENORPHINE",1093806192,"SALEM","GEORGE","BAYLOR","VA","Interventional Pain Management",62,NA,62,NA,1748,NA,25736.26,NA
"135",NA,NA,"*","S","METHADONE HCL","","METHADONE HCL",1225006729,"STAUNTON","MARGARET","SIMAN","VA","Family Practice",60.3,44.3,59,43,1800,1320,1582.29,1292.88
"136",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1932162716,"NORTON","UZMA","EHTESHAM","VA","Psychiatry",15,0,15,0,450,0,1470.76,0
"137",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1811166366,"FREDERICKSBURG","DANIEL","GRAY","VA","Family Practice",14,0,14,0,374,0,489.87,0
"138",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1578533873,"GALAX","ARTHUR","PEMBERTON","VA","Internal Medicine",14,NA,14,NA,395,NA,305.26,NA
"139",NA,NA,"*","S","METHADONE HCL","*","METHADONE HCL",1437437274,"GLEN ALLEN","NISHI","PATEL","VA","Physician Assistant",16,NA,16,NA,441,NA,357.9,NA
"140",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1447432141,"SPRINGFIELD","RAIS","KHAN","VA","Psychiatry",14,0,14,0,420,0,506.32,0
"141",NA,0,"","S","NALTREXONE HCL","","NALTREXONE HCL",1689653107,"MIDLOTHIAN","ADAM","KAUL","VA","Psychiatry",54.8,0,54,0,1630,0,3861.41,0
"142",NA,NA,"*","S","BUPRENORPHINE HCL","*","BUPRENORPHINE HCL",1932156056,"DANVILLE","MASOUD","HEJAZI","VA","Psychiatry",32,NA,32,NA,938,NA,4600.6,NA
"143",13,NA,"*","S","BUTRANS","","BUPRENORPHINE",1609912351,"RICHMOND","JAWAD","BHATTI","VA","Internal Medicine",37,13,37,13,1026,350,13367.91,3931.49
